MONTH	DAY	WITHDRAWAL
1	1	36.366
1	2	35.948
1	3	35.156
1	4	36.752
1	5	35.826
1	6	36.098
1	7	36.618
1	8	39.578
1	9	39.498
1	10	36.688
1	11	35.048
1	12	38.634
1	13	40.31
1	14	40.07
1	15	37.892
1	16	39.468
1	17	41.948
1	18	38.048
1	19	41.592
1	20	40.572
1	21	40.924
1	22	41.366
1	23	40.164
1	24	37.388
1	25	36.07
1	26	42.208
1	27	43.434
1	28	40.308
1	29	38.36
1	30	37.83
1	31	36.694
2	1	35.46
2	2	40.436
2	3	41.42
2	4	42.118
2	5	38.912
2	6	40.272
2	7	39.73
2	8	37.264
2	9	36.49
2	10	40.168
2	11	41.93
2	12	39.04
2	13	40.246
2	14	34.056
2	15	41.788
2	16	40.334
2	17	40.172
2	18	37.808
2	19	32.622
2	20	40.606
2	21	36.682
2	22	35.046
2	23	37.972
2	24	38.62
2	25	39.326
2	26	38.674
2	27	40.544
2	28	36.478
3	1	37.14
3	2	34.108
3	3	39.336
3	4	36.384
3	5	36.208
3	6	37.498
3	7	33.99
3	8	34.47
3	9	35.552
3	10	39.866
3	11	38.894
3	12	36.708
3	13	39.102
3	14	36.924
3	15	34.8
3	16	39.05
3	17	39.26
3	18	38.104
3	19	37.402
3	20	35.73
3	21	34.328
3	22	34.976
3	23	38.652
3	24	37.01
3	25	36.432
3	26	35.438
3	27	35.904
3	28	30.808
3	29	34.77
3	30	36.842
3	31	33.408
4	1	28.042
4	2	30.968
4	3	28.764
4	4	33.1
4	5	34.366
4	6	34.442
4	7	35.332
4	8	36.254
4	9	38.884
4	10	37.716
4	11	37.002
4	12	33.432
4	13	36.986
4	14	37.12
4	15	34.832
4	16	37.326
4	17	37.85
4	18	37.672
4	19	35.852
4	20	38.474
4	21	35.552
4	22	38.066
4	23	38.726
4	24	37.214
4	25	32.456
4	26	35.388
4	27	34.544
4	28	36.938
4	29	36.658
4	30	36.916
5	1	37.33
5	2	35.13
5	3	33.786
5	4	33.444
5	5	38.114
5	6	39.608
5	7	37.764
5	8	39.236
5	9	41.33
5	10	36.416
5	11	39.314
5	12	39.82
5	13	43.348
5	14	38.352
5	15	40.75
5	16	42.696
5	17	38.056
5	18	41.516
5	19	44.808
5	20	46.872
5	21	40.892
5	22	38.74
5	23	35.48
5	24	36.836
5	25	40.19
5	26	39.356
5	27	39.042
5	28	39.738
5	29	38.988
5	30	37.898
5	31	39.308
6	1	39.492
6	2	41.444
6	3	40.264
6	4	40.078
6	5	40.366
6	6	37.172
6	7	40.08
6	8	40.646
6	9	44.358
6	10	47.776
6	11	42.008
6	12	42.806
6	13	46.58
6	14	45.692
