Date	Year	Month	Day	INFLOW
1/1/1949	1949	1	1	2110
1/2/1949	1949	1	2	770
1/3/1949	1949	1	3	496
1/4/1949	1949	1	4	424
1/5/1949	1949	1	5	444
1/6/1949	1949	1	6	2500
1/7/1949	1949	1	7	868
1/8/1949	1949	1	8	549
1/9/1949	1949	1	9	423
1/10/1949	1949	1	10	358
1/11/1949	1949	1	11	303
1/12/1949	1949	1	12	252
1/13/1949	1949	1	13	222
1/14/1949	1949	1	14	206
1/15/1949	1949	1	15	158
1/16/1949	1949	1	16	167
1/17/1949	1949	1	17	162
1/18/1949	1949	1	18	151
1/19/1949	1949	1	19	170
1/20/1949	1949	1	20	170
1/21/1949	1949	1	21	117
1/22/1949	1949	1	22	140
1/23/1949	1949	1	23	135
1/24/1949	1949	1	24	138
1/25/1949	1949	1	25	194
1/26/1949	1949	1	26	151
1/27/1949	1949	1	27	151
1/28/1949	1949	1	28	151
1/29/1949	1949	1	29	162
1/30/1949	1949	1	30	119
1/31/1949	1949	1	31	111
2/1/1949	1949	2	1	140
2/2/1949	1949	2	2	124
2/3/1949	1949	2	3	110
2/4/1949	1949	2	4	115
2/5/1949	1949	2	5	112
2/6/1949	1949	2	6	98
2/7/1949	1949	2	7	110
2/8/1949	1949	2	8	125
2/9/1949	1949	2	9	130
2/10/1949	1949	2	10	150
2/11/1949	1949	2	11	125
2/12/1949	1949	2	12	105
2/13/1949	1949	2	13	132
2/14/1949	1949	2	14	257
2/15/1949	1949	2	15	559
2/16/1949	1949	2	16	1290
2/17/1949	1949	2	17	527
2/18/1949	1949	2	18	356
2/19/1949	1949	2	19	325
2/20/1949	1949	2	20	607
2/21/1949	1949	2	21	534
2/22/1949	1949	2	22	372
2/23/1949	1949	2	23	494
2/24/1949	1949	2	24	389
2/25/1949	1949	2	25	362
2/26/1949	1949	2	26	306
2/27/1949	1949	2	27	244
2/28/1949	1949	2	28	226
3/1/1949	1949	3	1	208
3/2/1949	1949	3	2	192
3/3/1949	1949	3	3	179
3/4/1949	1949	3	4	165
3/5/1949	1949	3	5	189
3/6/1949	1949	3	6	421
3/7/1949	1949	3	7	416
3/8/1949	1949	3	8	272
3/9/1949	1949	3	9	253
3/10/1949	1949	3	10	270
3/11/1949	1949	3	11	245
3/12/1949	1949	3	12	219
3/13/1949	1949	3	13	189
3/14/1949	1949	3	14	182
3/15/1949	1949	3	15	182
3/16/1949	1949	3	16	158
3/17/1949	1949	3	17	152
3/18/1949	1949	3	18	124
3/19/1949	1949	3	19	127
3/20/1949	1949	3	20	123
3/21/1949	1949	3	21	133
3/22/1949	1949	3	22	327
3/23/1949	1949	3	23	1290
3/24/1949	1949	3	24	795
3/25/1949	1949	3	25	555
3/26/1949	1949	3	26	504
3/27/1949	1949	3	27	528
3/28/1949	1949	3	28	444
3/29/1949	1949	3	29	316
3/30/1949	1949	3	30	257
3/31/1949	1949	3	31	219
4/1/1949	1949	4	1	198
4/2/1949	1949	4	2	176
4/3/1949	1949	4	3	160
4/4/1949	1949	4	4	168
4/5/1949	1949	4	5	174
4/6/1949	1949	4	6	451
4/7/1949	1949	4	7	527
4/8/1949	1949	4	8	320
4/9/1949	1949	4	9	242
4/10/1949	1949	4	10	202
4/11/1949	1949	4	11	176
4/12/1949	1949	4	12	157
4/13/1949	1949	4	13	144
4/14/1949	1949	4	14	325
4/15/1949	1949	4	15	265
4/16/1949	1949	4	16	215
4/17/1949	1949	4	17	176
4/18/1949	1949	4	18	175
4/19/1949	1949	4	19	570
4/20/1949	1949	4	20	481
4/21/1949	1949	4	21	345
4/22/1949	1949	4	22	262
4/23/1949	1949	4	23	366
4/24/1949	1949	4	24	362
4/25/1949	1949	4	25	262
4/26/1949	1949	4	26	219
4/27/1949	1949	4	27	208
4/28/1949	1949	4	28	185
4/29/1949	1949	4	29	171
4/30/1949	1949	4	30	154
5/1/1949	1949	5	1	140
5/2/1949	1949	5	2	140
5/3/1949	1949	5	3	228
5/4/1949	1949	5	4	185
5/5/1949	1949	5	5	142
5/6/1949	1949	5	6	154
5/7/1949	1949	5	7	132
5/8/1949	1949	5	8	110
5/9/1949	1949	5	9	99
5/10/1949	1949	5	10	94
5/11/1949	1949	5	11	86
5/12/1949	1949	5	12	78
5/13/1949	1949	5	13	74
5/14/1949	1949	5	14	69
5/15/1949	1949	5	15	65
5/16/1949	1949	5	16	60
5/17/1949	1949	5	17	57
5/18/1949	1949	5	18	51
5/19/1949	1949	5	19	51
5/20/1949	1949	5	20	222
5/21/1949	1949	5	21	248
5/22/1949	1949	5	22	122
5/23/1949	1949	5	23	237
5/24/1949	1949	5	24	164
5/25/1949	1949	5	25	424
5/26/1949	1949	5	26	204
5/27/1949	1949	5	27	165
5/28/1949	1949	5	28	126
5/29/1949	1949	5	29	108
5/30/1949	1949	5	30	110
5/31/1949	1949	5	31	96
6/1/1949	1949	6	1	79
6/2/1949	1949	6	2	70
6/3/1949	1949	6	3	60
6/4/1949	1949	6	4	52
6/5/1949	1949	6	5	47
6/6/1949	1949	6	6	52
6/7/1949	1949	6	7	45
6/8/1949	1949	6	8	37
6/9/1949	1949	6	9	35
